#At time x process y state arr w total z remain y wait k
At time 40 process 1 Stopped arr 1 total 23 remain 2 wait 18
At time 40 process 2 Resumed arr 11 total 26 remain 15 wait 18
At time 41 process 2 Stopped arr 11 total 26 remain 14 wait 18
At time 41 process 1 Resumed arr 1 total 23 remain 2 wait 19
At time 42 process 1 Stopped arr 1 total 23 remain 1 wait 19
At time 42 process 2 Resumed arr 11 total 26 remain 14 wait 19
At time 43 process 2 Stopped arr 11 total 26 remain 13 wait 19
At time 43 process 1 Resumed arr 1 total 23 remain 1 wait 20
At time 44 process 1 Finished arr 1 total 23 remain 0 wait 20  TA 43  WTA 1.87
At time 44 process 2 Resumed arr 11 total 26 remain 13 wait 20
At time 45 process 2 Stopped arr 11 total 26 remain 12 wait 20
At time 45 process 2 Resumed arr 11 total 26 remain 12 wait 20
At time 46 process 2 Stopped arr 11 total 26 remain 11 wait 20
At time 46 process 2 Resumed arr 11 total 26 remain 11 wait 20
At time 47 process 2 Stopped arr 11 total 26 remain 10 wait 20
At time 47 process 2 Resumed arr 11 total 26 remain 10 wait 20
At time 48 process 2 Stopped arr 11 total 26 remain 9 wait 20
At time 48 process 2 Resumed arr 11 total 26 remain 9 wait 20
At time 49 process 2 Stopped arr 11 total 26 remain 8 wait 20
At time 49 process 2 Resumed arr 11 total 26 remain 8 wait 20
At time 50 process 2 Stopped arr 11 total 26 remain 7 wait 20
At time 50 process 2 Resumed arr 11 total 26 remain 7 wait 20
At time 51 process 2 Stopped arr 11 total 26 remain 6 wait 20
At time 51 process 2 Resumed arr 11 total 26 remain 6 wait 20
At time 52 process 2 Stopped arr 11 total 26 remain 5 wait 20
At time 52 process 2 Resumed arr 11 total 26 remain 5 wait 20
At time 53 process 2 Stopped arr 11 total 26 remain 4 wait 20
At time 53 process 2 Resumed arr 11 total 26 remain 4 wait 20
At time 54 process 2 Stopped arr 11 total 26 remain 3 wait 20
At time 54 process 2 Resumed arr 11 total 26 remain 3 wait 20
At time 55 process 2 Stopped arr 11 total 26 remain 2 wait 20
At time 55 process 2 Resumed arr 11 total 26 remain 2 wait 20
At time 56 process 2 Stopped arr 11 total 26 remain 1 wait 20
At time 56 process 2 Resumed arr 11 total 26 remain 1 wait 20
At time 57 process 2 Finished arr 11 total 26 remain 0 wait 20  TA 46  WTA 1.77
